,0,1,2,3,4,5
0,1438214400.0,288.24,290.26,290.26,288.97,277.09452122
1,1438210800.0,289.12,291.51,291.51,290.19,277.76935383
2,1438207200.0,291.5,291.55,291.54,291.51,159.4679892
3,1438203600.0,291.5,291.69,291.67,291.55,169.35703
4,1438200000.0,291.5,292.0,291.51,291.66,224.60723755
5,1438196400.0,291.5,292.3,292.3,291.51,236.08257921
6,1438192800.0,290.31,293.0,290.31,292.35,409.6232092
7,1438189200.0,290.27,290.65,290.65,290.3,241.81720242
8,1438185600.0,290.46,291.96,291.72,290.46,261.7890413
9,1438182000.0,291.32,292.19,291.92,291.66,221.94777804
10,1438178400.0,291.61,291.97,291.81,291.92,254.79044986
11,1438174800.0,290.52,291.81,290.56,291.81,171.10651387
12,1438171200.0,290.27,290.72,290.33,290.55,131.42884392
13,1438167600.0,289.36,290.69,289.36,290.24,118.5490975
14,1438164000.0,289.01,290.55,290.55,289.36,210.30885927
15,1438160400.0,290.46,291.0,291.0,290.55,88.61215046
16,1438156800.0,290.4,291.1,290.41,291.0,92.80635439
17,1438153200.0,290.22,291.48,291.48,290.41,274.4454
18,1438149600.0,290.51,291.8,291.52,291.5,155.25252415
19,1438146000.0,291.5,294.76,294.49,291.5,374.27944429
20,1438142400.0,294.06,295.33,295.33,294.48,176.35694161
21,1438138800.0,295.12,296.0,295.69,295.33,191.33188603
22,1438135200.0,295.0,296.52,295.89,295.7,154.26978531
23,1438131600.0,294.3,296.58,295.93,296.42,367.85254197
24,1438128000.0,295.25,296.14,295.74,295.94,259.65495726
25,1438124400.0,295.51,296.55,295.86,295.76,227.08216109
26,1438120800.0,295.5,295.99,295.99,295.88,265.49402994
27,1438117200.0,295.58,296.53,296.42,296.0,264.5201
28,1438113600.0,295.73,296.51,295.94,296.42,234.61434492
29,1438110000.0,295.53,296.3,296.13,295.96,319.0539084
30,1438106400.0,295.82,296.29,296.15,296.13,183.0991721
31,1438102800.0,295.72,296.3,295.83,296.19,290.91884863
