date,bitcoin price,isPartial,window_start,window_end
2019-01-02,19,False,2019-01-02,2019-06-30
2019-01-03,21,False,2019-01-02,2019-06-30
2019-01-04,21,False,2019-01-02,2019-06-30
2019-01-05,15,False,2019-01-02,2019-06-30
2019-01-06,16,False,2019-01-02,2019-06-30
2019-01-07,21,False,2019-01-02,2019-06-30
2019-01-08,19,False,2019-01-02,2019-06-30
2019-01-09,20,False,2019-01-02,2019-06-30
2019-01-10,21,False,2019-01-02,2019-06-30
2019-01-11,21,False,2019-01-02,2019-06-30
2019-01-12,15,False,2019-01-02,2019-06-30
2019-01-13,15,False,2019-01-02,2019-06-30
2019-01-14,18,False,2019-01-02,2019-06-30
2019-01-15,18,False,2019-01-02,2019-06-30
2019-01-16,17,False,2019-01-02,2019-06-30
2019-01-17,15,False,2019-01-02,2019-06-30
2019-01-18,16,False,2019-01-02,2019-06-30
2019-01-19,14,False,2019-01-02,2019-06-30
2019-01-20,12,False,2019-01-02,2019-06-30
2019-01-21,15,False,2019-01-02,2019-06-30
2019-01-22,16,False,2019-01-02,2019-06-30
2019-01-23,15,False,2019-01-02,2019-06-30
2019-01-24,15,False,2019-01-02,2019-06-30
2019-01-25,14,False,2019-01-02,2019-06-30
2019-01-26,14,False,2019-01-02,2019-06-30
2019-01-27,13,False,2019-01-02,2019-06-30
2019-01-28,17,False,2019-01-02,2019-06-30
2019-01-29,17,False,2019-01-02,2019-06-30
2019-01-30,17,False,2019-01-02,2019-06-30
2019-01-31,13,False,2019-01-02,2019-06-30
2019-02-01,14,False,2019-01-02,2019-06-30
2019-02-02,14,False,2019-01-02,2019-06-30
2019-02-03,11,False,2019-01-02,2019-06-30
2019-02-04,17,False,2019-01-02,2019-06-30
2019-02-05,17,False,2019-01-02,2019-06-30
2019-02-06,17,False,2019-01-02,2019-06-30
2019-02-07,15,False,2019-01-02,2019-06-30
2019-02-08,16,False,2019-01-02,2019-06-30
2019-02-09,16,False,2019-01-02,2019-06-30
2019-02-10,13,False,2019-01-02,2019-06-30
2019-02-11,16,False,2019-01-02,2019-06-30
2019-02-12,13,False,2019-01-02,2019-06-30
2019-02-13,15,False,2019-01-02,2019-06-30
2019-02-14,13,False,2019-01-02,2019-06-30
2019-02-15,14,False,2019-01-02,2019-06-30
2019-02-16,11,False,2019-01-02,2019-06-30
2019-02-17,12,False,2019-01-02,2019-06-30
2019-02-18,15,False,2019-01-02,2019-06-30
2019-02-19,17,False,2019-01-02,2019-06-30
2019-02-20,17,False,2019-01-02,2019-06-30
2019-02-21,18,False,2019-01-02,2019-06-30
2019-02-22,17,False,2019-01-02,2019-06-30
2019-02-23,18,False,2019-01-02,2019-06-30
2019-02-24,21,False,2019-01-02,2019-06-30
2019-02-25,18,False,2019-01-02,2019-06-30
2019-02-26,17,False,2019-01-02,2019-06-30
2019-02-27,12,False,2019-01-02,2019-06-30
2019-02-28,14,False,2019-01-02,2019-06-30
2019-03-01,15,False,2019-01-02,2019-06-30
2019-03-02,11,False,2019-01-02,2019-06-30
2019-03-03,14,False,2019-01-02,2019-06-30
2019-03-04,14,False,2019-01-02,2019-06-30
2019-03-05,15,False,2019-01-02,2019-06-30
2019-03-06,14,False,2019-01-02,2019-06-30
2019-03-07,15,False,2019-01-02,2019-06-30
2019-03-08,12,False,2019-01-02,2019-06-30
2019-03-09,13,False,2019-01-02,2019-06-30
2019-03-10,10,False,2019-01-02,2019-06-30
2019-03-11,14,False,2019-01-02,2019-06-30
2019-03-12,12,False,2019-01-02,2019-06-30
2019-03-13,13,False,2019-01-02,2019-06-30
2019-03-14,13,False,2019-01-02,2019-06-30
2019-03-15,12,False,2019-01-02,2019-06-30
2019-03-16,13,False,2019-01-02,2019-06-30
2019-03-17,12,False,2019-01-02,2019-06-30
2019-03-18,14,False,2019-01-02,2019-06-30
2019-03-19,14,False,2019-01-02,2019-06-30
2019-03-20,16,False,2019-01-02,2019-06-30
2019-03-21,16,False,2019-01-02,2019-06-30
2019-03-22,13,False,2019-01-02,2019-06-30
2019-03-23,14,False,2019-01-02,2019-06-30
2019-03-24,10,False,2019-01-02,2019-06-30
2019-03-25,11,False,2019-01-02,2019-06-30
2019-03-26,12,False,2019-01-02,2019-06-30
2019-03-27,10,False,2019-01-02,2019-06-30
2019-03-28,12,False,2019-01-02,2019-06-30
2019-03-29,14,False,2019-01-02,2019-06-30
2019-03-30,11,False,2019-01-02,2019-06-30
2019-03-31,13,False,2019-01-02,2019-06-30
2019-04-01,15,False,2019-01-02,2019-06-30
2019-04-02,35,False,2019-01-02,2019-06-30
2019-04-03,39,False,2019-01-02,2019-06-30
2019-04-04,27,False,2019-01-02,2019-06-30
2019-04-05,24,False,2019-01-02,2019-06-30
2019-04-06,18,False,2019-01-02,2019-06-30
2019-04-07,21,False,2019-01-02,2019-06-30
2019-04-08,26,False,2019-01-02,2019-06-30
2019-04-09,24,False,2019-01-02,2019-06-30
2019-04-10,23,False,2019-01-02,2019-06-30
2019-04-11,23,False,2019-01-02,2019-06-30
2019-04-12,19,False,2019-01-02,2019-06-30
2019-04-13,17,False,2019-01-02,2019-06-30
2019-04-14,16,False,2019-01-02,2019-06-30
2019-04-15,17,False,2019-01-02,2019-06-30
2019-04-16,17,False,2019-01-02,2019-06-30
2019-04-17,19,False,2019-01-02,2019-06-30
2019-04-18,16,False,2019-01-02,2019-06-30
2019-04-19,17,False,2019-01-02,2019-06-30
2019-04-20,17,False,2019-01-02,2019-06-30
2019-04-21,17,False,2019-01-02,2019-06-30
2019-04-22,17,False,2019-01-02,2019-06-30
2019-04-23,20,False,2019-01-02,2019-06-30
2019-04-24,20,False,2019-01-02,2019-06-30
2019-04-25,18,False,2019-01-02,2019-06-30
2019-04-26,20,False,2019-01-02,2019-06-30
2019-04-27,14,False,2019-01-02,2019-06-30
2019-04-28,14,False,2019-01-02,2019-06-30
2019-04-29,17,False,2019-01-02,2019-06-30
2019-04-30,17,False,2019-01-02,2019-06-30
2019-05-01,16,False,2019-01-02,2019-06-30
2019-05-02,16,False,2019-01-02,2019-06-30
2019-05-03,21,False,2019-01-02,2019-06-30
2019-05-04,20,False,2019-01-02,2019-06-30
2019-05-05,20,False,2019-01-02,2019-06-30
2019-05-06,19,False,2019-01-02,2019-06-30
2019-05-07,25,False,2019-01-02,2019-06-30
2019-05-08,24,False,2019-01-02,2019-06-30
2019-05-09,24,False,2019-01-02,2019-06-30
2019-05-10,31,False,2019-01-02,2019-06-30
2019-05-11,39,False,2019-01-02,2019-06-30
2019-05-12,45,False,2019-01-02,2019-06-30
2019-05-13,46,False,2019-01-02,2019-06-30
2019-05-14,59,False,2019-01-02,2019-06-30
2019-05-15,48,False,2019-01-02,2019-06-30
2019-05-16,42,False,2019-01-02,2019-06-30
2019-05-17,44,False,2019-01-02,2019-06-30
2019-05-18,34,False,2019-01-02,2019-06-30
2019-05-19,31,False,2019-01-02,2019-06-30
2019-05-20,35,False,2019-01-02,2019-06-30
2019-05-21,32,False,2019-01-02,2019-06-30
2019-05-22,29,False,2019-01-02,2019-06-30
2019-05-23,29,False,2019-01-02,2019-06-30
2019-05-24,29,False,2019-01-02,2019-06-30
2019-05-25,22,False,2019-01-02,2019-06-30
2019-05-26,24,False,2019-01-02,2019-06-30
2019-05-27,38,False,2019-01-02,2019-06-30
2019-05-28,34,False,2019-01-02,2019-06-30
2019-05-29,33,False,2019-01-02,2019-06-30
2019-05-30,35,False,2019-01-02,2019-06-30
2019-05-31,32,False,2019-01-02,2019-06-30
2019-06-01,26,False,2019-01-02,2019-06-30
2019-06-02,24,False,2019-01-02,2019-06-30
2019-06-03,29,False,2019-01-02,2019-06-30
2019-06-04,31,False,2019-01-02,2019-06-30
2019-06-05,26,False,2019-01-02,2019-06-30
2019-06-06,26,False,2019-01-02,2019-06-30
2019-06-07,25,False,2019-01-02,2019-06-30
2019-06-08,25,False,2019-01-02,2019-06-30
2019-06-09,21,False,2019-01-02,2019-06-30
2019-06-10,22,False,2019-01-02,2019-06-30
2019-06-11,22,False,2019-01-02,2019-06-30
2019-06-12,25,False,2019-01-02,2019-06-30
2019-06-13,22,False,2019-01-02,2019-06-30
2019-06-14,24,False,2019-01-02,2019-06-30
2019-06-15,26,False,2019-01-02,2019-06-30
2019-06-16,31,False,2019-01-02,2019-06-30
2019-06-17,35,False,2019-01-02,2019-06-30
2019-06-18,38,False,2019-01-02,2019-06-30
2019-06-19,27,False,2019-01-02,2019-06-30
2019-06-20,35,False,2019-01-02,2019-06-30
2019-06-21,42,False,2019-01-02,2019-06-30
2019-06-22,64,False,2019-01-02,2019-06-30
2019-06-23,50,False,2019-01-02,2019-06-30
2019-06-24,48,False,2019-01-02,2019-06-30
2019-06-25,55,False,2019-01-02,2019-06-30
2019-06-26,100,False,2019-01-02,2019-06-30
2019-06-27,79,False,2019-01-02,2019-06-30
2019-06-28,68,False,2019-01-02,2019-06-30
2019-06-29,53,False,2019-01-02,2019-06-30
2019-06-30,43,False,2019-01-02,2019-06-30
