date,how to buy bitcoin,isPartial,window_start,window_end
2020-01-02,12,False,2020-01-02,2020-06-29
2020-01-03,48,False,2020-01-02,2020-06-29
2020-01-04,30,False,2020-01-02,2020-06-29
2020-01-05,34,False,2020-01-02,2020-06-29
2020-01-06,46,False,2020-01-02,2020-06-29
2020-01-07,39,False,2020-01-02,2020-06-29
2020-01-08,34,False,2020-01-02,2020-06-29
2020-01-09,38,False,2020-01-02,2020-06-29
2020-01-10,46,False,2020-01-02,2020-06-29
2020-01-11,13,False,2020-01-02,2020-06-29
2020-01-12,25,False,2020-01-02,2020-06-29
2020-01-13,14,False,2020-01-02,2020-06-29
2020-01-14,20,False,2020-01-02,2020-06-29
2020-01-15,71,False,2020-01-02,2020-06-29
2020-01-16,45,False,2020-01-02,2020-06-29
2020-01-17,27,False,2020-01-02,2020-06-29
2020-01-18,30,False,2020-01-02,2020-06-29
2020-01-19,33,False,2020-01-02,2020-06-29
2020-01-20,46,False,2020-01-02,2020-06-29
2020-01-21,19,False,2020-01-02,2020-06-29
2020-01-22,45,False,2020-01-02,2020-06-29
2020-01-23,30,False,2020-01-02,2020-06-29
2020-01-24,23,False,2020-01-02,2020-06-29
2020-01-25,68,False,2020-01-02,2020-06-29
2020-01-26,25,False,2020-01-02,2020-06-29
2020-01-27,22,False,2020-01-02,2020-06-29
2020-01-28,33,False,2020-01-02,2020-06-29
2020-01-29,44,False,2020-01-02,2020-06-29
2020-01-30,30,False,2020-01-02,2020-06-29
2020-01-31,23,False,2020-01-02,2020-06-29
2020-02-01,25,False,2020-01-02,2020-06-29
2020-02-02,25,False,2020-01-02,2020-06-29
2020-02-03,28,False,2020-01-02,2020-06-29
2020-02-04,41,False,2020-01-02,2020-06-29
2020-02-05,37,False,2020-01-02,2020-06-29
2020-02-06,34,False,2020-01-02,2020-06-29
2020-02-07,46,False,2020-01-02,2020-06-29
2020-02-08,25,False,2020-01-02,2020-06-29
2020-02-09,82,False,2020-01-02,2020-06-29
2020-02-10,29,False,2020-01-02,2020-06-29
2020-02-11,18,False,2020-01-02,2020-06-29
