date,how to buy bitcoin,isPartial,window_start,window_end
2015-01-02,0,False,2015-01-02,2015-06-30
2015-01-03,29,False,2015-01-02,2015-06-30
2015-01-04,29,False,2015-01-02,2015-06-30
2015-01-05,49,False,2015-01-02,2015-06-30
2015-01-06,76,False,2015-01-02,2015-06-30
2015-01-07,0,False,2015-01-02,2015-06-30
2015-01-08,0,False,2015-01-02,2015-06-30
2015-01-09,25,False,2015-01-02,2015-06-30
2015-01-10,57,False,2015-01-02,2015-06-30
2015-01-11,56,False,2015-01-02,2015-06-30
2015-01-12,0,False,2015-01-02,2015-06-30
2015-01-13,48,False,2015-01-02,2015-06-30
2015-01-14,24,False,2015-01-02,2015-06-30
2015-01-15,48,False,2015-01-02,2015-06-30
2015-01-16,25,False,2015-01-02,2015-06-30
2015-01-17,0,False,2015-01-02,2015-06-30
2015-01-18,83,False,2015-01-02,2015-06-30
2015-01-19,72,False,2015-01-02,2015-06-30
2015-01-20,72,False,2015-01-02,2015-06-30
2015-01-21,47,False,2015-01-02,2015-06-30
2015-01-22,24,False,2015-01-02,2015-06-30
2015-01-23,0,False,2015-01-02,2015-06-30
2015-01-24,0,False,2015-01-02,2015-06-30
2015-01-25,28,False,2015-01-02,2015-06-30
2015-01-26,70,False,2015-01-02,2015-06-30
2015-01-27,47,False,2015-01-02,2015-06-30
2015-01-28,24,False,2015-01-02,2015-06-30
2015-01-29,24,False,2015-01-02,2015-06-30
2015-01-30,0,False,2015-01-02,2015-06-30
2015-01-31,0,False,2015-01-02,2015-06-30
2015-02-01,82,False,2015-01-02,2015-06-30
2015-02-02,0,False,2015-01-02,2015-06-30
2015-02-03,47,False,2015-01-02,2015-06-30
2015-02-04,24,False,2015-01-02,2015-06-30
2015-02-05,48,False,2015-01-02,2015-06-30
2015-02-06,25,False,2015-01-02,2015-06-30
2015-02-07,56,False,2015-01-02,2015-06-30
2015-02-08,28,False,2015-01-02,2015-06-30
2015-02-09,0,False,2015-01-02,2015-06-30
2015-02-10,23,False,2015-01-02,2015-06-30
2015-02-11,72,False,2015-01-02,2015-06-30
2015-02-12,0,False,2015-01-02,2015-06-30
2015-02-13,0,False,2015-01-02,2015-06-30
2015-02-14,29,False,2015-01-02,2015-06-30
2015-02-15,0,False,2015-01-02,2015-06-30
2015-02-16,50,False,2015-01-02,2015-06-30
2015-02-17,74,False,2015-01-02,2015-06-30
2015-02-18,0,False,2015-01-02,2015-06-30
2015-02-19,0,False,2015-01-02,2015-06-30
2015-02-20,100,False,2015-01-02,2015-06-30
2015-02-21,0,False,2015-01-02,2015-06-30
2015-02-22,84,False,2015-01-02,2015-06-30
2015-02-23,47,False,2015-01-02,2015-06-30
2015-02-24,23,False,2015-01-02,2015-06-30
2015-02-25,0,False,2015-01-02,2015-06-30
2015-02-26,48,False,2015-01-02,2015-06-30
2015-02-27,25,False,2015-01-02,2015-06-30
2015-02-28,55,False,2015-01-02,2015-06-30
2015-03-01,27,False,2015-01-02,2015-06-30
2015-03-02,46,False,2015-01-02,2015-06-30
2015-03-03,0,False,2015-01-02,2015-06-30
2015-03-04,24,False,2015-01-02,2015-06-30
2015-03-05,96,False,2015-01-02,2015-06-30
2015-03-06,50,False,2015-01-02,2015-06-30
2015-03-07,28,False,2015-01-02,2015-06-30
2015-03-08,0,False,2015-01-02,2015-06-30
2015-03-09,48,False,2015-01-02,2015-06-30
2015-03-10,93,False,2015-01-02,2015-06-30
2015-03-11,23,False,2015-01-02,2015-06-30
2015-03-12,0,False,2015-01-02,2015-06-30
2015-03-13,25,False,2015-01-02,2015-06-30
2015-03-14,0,False,2015-01-02,2015-06-30
2015-03-15,28,False,2015-01-02,2015-06-30
2015-03-16,24,False,2015-01-02,2015-06-30
2015-03-17,0,False,2015-01-02,2015-06-30
2015-03-18,24,False,2015-01-02,2015-06-30
2015-03-19,24,False,2015-01-02,2015-06-30
2015-03-20,49,False,2015-01-02,2015-06-30
2015-03-21,83,False,2015-01-02,2015-06-30
2015-03-22,55,False,2015-01-02,2015-06-30
2015-03-23,0,False,2015-01-02,2015-06-30
2015-03-24,23,False,2015-01-02,2015-06-30
2015-03-25,35,False,2015-01-02,2015-06-30
2015-03-26,0,False,2015-01-02,2015-06-30
2015-03-27,49,False,2015-01-02,2015-06-30
2015-03-28,29,False,2015-01-02,2015-06-30
2015-03-29,29,False,2015-01-02,2015-06-30
2015-03-30,47,False,2015-01-02,2015-06-30
2015-03-31,47,False,2015-01-02,2015-06-30
2015-04-01,24,False,2015-01-02,2015-06-30
2015-04-02,25,False,2015-01-02,2015-06-30
2015-04-03,27,False,2015-01-02,2015-06-30
2015-04-04,0,False,2015-01-02,2015-06-30
2015-04-05,0,False,2015-01-02,2015-06-30
2015-04-06,50,False,2015-01-02,2015-06-30
2015-04-07,47,False,2015-01-02,2015-06-30
2015-04-08,0,False,2015-01-02,2015-06-30
2015-04-09,48,False,2015-01-02,2015-06-30
2015-04-10,0,False,2015-01-02,2015-06-30
2015-04-11,28,False,2015-01-02,2015-06-30
2015-04-12,28,False,2015-01-02,2015-06-30
2015-04-13,24,False,2015-01-02,2015-06-30
2015-04-14,47,False,2015-01-02,2015-06-30
2015-04-15,24,False,2015-01-02,2015-06-30
2015-04-16,48,False,2015-01-02,2015-06-30
2015-04-17,25,False,2015-01-02,2015-06-30
2015-04-18,56,False,2015-01-02,2015-06-30
2015-04-19,0,False,2015-01-02,2015-06-30
2015-04-20,24,False,2015-01-02,2015-06-30
2015-04-21,95,False,2015-01-02,2015-06-30
2015-04-22,23,False,2015-01-02,2015-06-30
2015-04-23,24,False,2015-01-02,2015-06-30
2015-04-24,25,False,2015-01-02,2015-06-30
2015-04-25,28,False,2015-01-02,2015-06-30
2015-04-26,0,False,2015-01-02,2015-06-30
2015-04-27,47,False,2015-01-02,2015-06-30
2015-04-28,46,False,2015-01-02,2015-06-30
2015-04-29,0,False,2015-01-02,2015-06-30
2015-04-30,48,False,2015-01-02,2015-06-30
2015-05-01,27,False,2015-01-02,2015-06-30
2015-05-02,28,False,2015-01-02,2015-06-30
2015-05-03,83,False,2015-01-02,2015-06-30
2015-05-04,0,False,2015-01-02,2015-06-30
2015-05-05,23,False,2015-01-02,2015-06-30
2015-05-06,0,False,2015-01-02,2015-06-30
2015-05-07,0,False,2015-01-02,2015-06-30
2015-05-08,25,False,2015-01-02,2015-06-30
2015-05-09,28,False,2015-01-02,2015-06-30
2015-05-10,86,False,2015-01-02,2015-06-30
2015-05-11,0,False,2015-01-02,2015-06-30
2015-05-12,71,False,2015-01-02,2015-06-30
2015-05-13,23,False,2015-01-02,2015-06-30
2015-05-14,48,False,2015-01-02,2015-06-30
2015-05-15,74,False,2015-01-02,2015-06-30
2015-05-16,0,False,2015-01-02,2015-06-30
2015-05-17,0,False,2015-01-02,2015-06-30
2015-05-18,0,False,2015-01-02,2015-06-30
2015-05-19,23,False,2015-01-02,2015-06-30
2015-05-20,23,False,2015-01-02,2015-06-30
2015-05-21,48,False,2015-01-02,2015-06-30
2015-05-22,25,False,2015-01-02,2015-06-30
2015-05-23,0,False,2015-01-02,2015-06-30
2015-05-24,57,False,2015-01-02,2015-06-30
2015-05-25,48,False,2015-01-02,2015-06-30
2015-05-26,0,False,2015-01-02,2015-06-30
2015-05-27,23,False,2015-01-02,2015-06-30
2015-05-28,0,False,2015-01-02,2015-06-30
2015-05-29,0,False,2015-01-02,2015-06-30
2015-05-30,28,False,2015-01-02,2015-06-30
2015-05-31,56,False,2015-01-02,2015-06-30
2015-06-01,70,False,2015-01-02,2015-06-30
2015-06-02,0,False,2015-01-02,2015-06-30
2015-06-03,24,False,2015-01-02,2015-06-30
2015-06-04,0,False,2015-01-02,2015-06-30
2015-06-05,25,False,2015-01-02,2015-06-30
2015-06-06,0,False,2015-01-02,2015-06-30
